\,microsoft,jenkinsci,apache,mozilla,azure,adafruit,googlecloudplatform,owasp,hashicorp,w3c,intel,udacity,shopify,automattic,mapbox,heroku,adobe,openstack,unity-technologies,elastic,JetBrains,rancher,segmentio,eclipse,alibaba,discourse,nasa,github,spatie,auth0,grafana,getsentry,cloudflare,nokia,thoughtbot,atlassian,aws,getlantern,salesforce,npm,plotly,futurice,hubspot,kong,rstudio,nvidia,hewlettpackard,formidablelabs,ionic-team,codrops,netlify,ethereum,ecomfe,digitalocean,juniper,square,oracle,spotify,atom,nccgroup,marmelab,symfony,fossasia,tc39,sap,yelp,rocketchat,mirantis,paypal,dotnet,palantir,dropbox,naver,netflix,vmware,freecodecamp,yahoo,nvlabs,angular,linuxdeepin,ansible,nodejs,airbnb,rust-lang,influxdata,meteor,bytedance,fex-team,ipfs,citrix,thunlp,apple,crowdstrike,ebay,deepmind,xamarin,servo,ory,tencent,hyperledger,basecamp,nextdoor,criteo,khronosgroup,telus,samsung,cloudera,trailofbits,jitsi,amzn,pingcap,openai,frappe,servicenow,qiniu,uber,cyberark,freshworks,infinitered,sage,easemob,fastai,iuap-design,tryghost,delta,vercel,docusign,dell,wordpress,facebook,paytm,alteryx,vuejs,filamentgroup,storybookjs,mdn,rails,minio,aspnet,ant-design,ericsson,coinbase,tensorflow,baidu,yandex,commaai,mastercard,seagate,ExpediaInc,huggingface,huawei,vimeo,koajs,gatsbyjs,skillz,signalapp,powershell,twitter,medium,clojure,procore,genius,electron,home-assistant,nytimes,firebase,mercari,jupyter,okta,realm,docker,mandiant,mercadolibre,groupon,reactjs,papers-we-love,tauri-apps,youzan,smartrent,prisma,opentext,python,netease,kotlin,coupa,denoland,bazelbuild,cisco,coursera,ironsource,veritone,laravel,spring-projects,autodesk,didi,kubernetes,containers,pinterest,nutanix,semantic-org,box,doctrine,appian,hexojs,rethinkdb,openresty,videojs,kriasoft,gulpjs,tusimple,pytorch,gothinkster,opntec,douban,blockchain,shadowsocks,netdata,doordash,strapi,bilibili,xiaomi,lingochamp,qualys,solarwinds,datawhalechina,qihoo360,pypa,tenable,haiwen,yalantis,babel,localstack,wish,meituan,uipath,bookingcom,doximity,golang,polymer,zoom,equinix,liveramp,d3,postcss,jekyll,alipay,fortinet,lenovo,remitly,adevinta,gree,raspberrypi,yued-fe,renesas,parse-community,kakao,jquery,pixijs,sony,locaweb,webpack,nuxt,valvesoftware,zalando,dianping,zomato,dcloudio,applovin,genymobile,dmlc,yeoman,qunarcorp,clarivate,similarweb,socketio,pivotal,godotengine,ctripcorp,fiserv,prometheus,traefik,metafizzy,expensify,adyen,ubisoft,riskified,reactiveX,ramotion,open-mmlab,riot,expressjs,istio,shotspotter,googlechrome,julialang,bumptech,factset,cimpress,prettier,swagger-api,eleme,amd,workday,thealgorithms,nestjs,logitech,secureworks,homebrew,webtorrent,fastlane,meituan-dianping,styled-components,mobxjs,fortawesome,zhihu,pegasystems,avalara,globant,jgraph,youtube,gohugoio,ansys,ebookfoundation,flutter,h5bp,jobbole,Instagram,redis,graphql,mapmyindia,netgear,ncsoft,moby,akveo,neovim,scrapy,wayfair,markforged,twbs,visionmedia,sequelize,grpc,tastejs,trainline,matterport,zynga,anjuke,23andme,egain,django,syncthing,definitelytyped,afnetworking,taobao,reduxjs,encode,overstock,veeva,chartjs,iqiyi,weibocom,faceplusplus,truecaller,keysight,ncino,obsproject,composer,gorilla,seleniumHQ,microstrategy,HujiangTechnology,spirent,coupang,30-seconds,yarnpkg,guzzle,vuzix,cyberagent,aol,billtrust,harmonic,playstudios,keras-team,iview,vipshop,certara,leaflet,gogs,carsales,zscaler,teamviewer,techtarget,doocs,pallets,opencv,tesseract-ocr,rackspace,lumen,unisys,gin-gonic,scikit-learn,tldr-pages,baixing,colopl,appen,meitu,marqeta,lattice,exscientia,mui,zsh-users,nwjs,robinhood,renren,ionq,qualtrics,makemytrip,agilethought,hoppscotch,freecodecampchina,puppeteer,jumeirdgroup,dangdangdotcom,compass,semrush,soundhound,alamofire,N-able,avepoint,lantronix,moment,git,quilljs,micro,tripadvisor,vacasa,zuora,qorvo,supermicro,evercommerce,smartsheet,ohmyzsh,powerline,endava,vanguard,spire,payoneer,mtdvio,huginn,layui,nortonlifeLock,legalzoom,channeladvisor,lendingclub,kinaxis,simcorp,upstart,ChangbaDevs,monotaro,teladoc,bitcoin,konami,jumia,sailpoint,meili,identiv,isocpp,temenos,five9,nordic,nerdwallet,gitlab,dlocal,tietoevry,impress,snapkit,exacity,doubleverify,knowbe4,sprinklr,plantronics,ytdl-org,resume,raywenderlich,eplus,phreesia
microsoft,42952,516,1836,1661,3802,382,563,98,942,311,2728,866,2594,899,716,825,960,418,3021,1406,1862,939,1089,266,1496,200,73,2077,113,808,1125,656,997,1788,326,1208,487,537,83,575,260,165,1377,798,722,1273,738,453,330,11,267,437,115,806,606,225,576,394,661,82,116,125,136,224,145,558,699,618,103,2131,646,986,140,379,109,168,264,24,346,82,200,869,1207,1129,313,1234,1096,43,128,37,21,1013,313,61,81,882,549,193,461,77,344,1032,21,732,91,661,124,719,407,93,269,432,92,233,83,263,131,502,779,78,39,155,100,279,18,548,52,195,48,1366,106,322,346,54,157,214,158,206,355,123,620,43,596,201,133,816,31,399,480,545,9,232,86,146,322,271,369,162,864,38,233,253,449,188,55,283,194,173,52,117,971,87,307,21,253,28,156,241,155,117,51,278,189,45,190,636,214,96,348,120,347,98,272,57,120,422,547,277,127,229,58,102,1194,69,87,35,56,125,100,499,378,28,15,91,109,159,173,503,28,222,69,452,90,369,3,33,273,122,78,5,261,114,138,185,955,404,73,499,66,4,49,49,31,99,88,163,8,56,508,185,39,528,20,188,74,8,139,105,232,3,255,132,155,58,498,221,189,146,145,455,112,6,185,148,141,245,103,51,51,163,118,14,457,10,301,99,198,6,64,22,144,300,252,191,560,24,42,67,241,530,25,349,229,116,100,32,57,271,49,88,11,120,108,134,76,2,133,0,23,29,71,4,67,414,73,5,334,206,167,0,181,59,503,13,663,83,23,282,73,65,84,186,49,10,11,11,6,84,0,83,39,209,34,11,172,99,193,0,52,46,5,2,63,577,91,75,62,49,145,1,6,2,392,26,216,46,0,2,9,2,21,68,136,7,2,1,53,51,2,2,13,0,9,140,318,38,313,6,29,62,48,43,6,176,16,172,52,12,4,58,77,342,26,0,46,15,24,18,23,39,112,0,3,24,2,1,24,0,276,0,99,416,18,7,0,1,0,7,1,1,7,93,25,1,1,0,0,13,10,2,4,26,2,9,2,1,1,0,15,33,43,0,0,4,0,0,258,4,0,0,5,0,0,2,11,7,1,0,1,0,0,38,11,0,0,0
jenkinsci,516,8622,710,194,181,45,198,42,400,36,165,89,569,152,62,168,196,86,535,228,326,270,269,131,153,76,12,348,14,116,340,147,146,843,111,583,182,74,36,58,51,36,330,210,62,70,129,59,57,1,40,51,13,303,165,87,140,105,51,11,18,37,27,7,53,243,182,154,27,66,118,152,34,97,57,32,25,3,47,22,103,87,211,87,124,162,122,7,21,24,1,48,86,17,5,72,48,121,24,17,138,232,21,23,49,36,32,38,35,14,75,79,22,130,27,84,32,79,22,16,19,23,79,52,3,42,19,11,6,129,18,50,25,6,24,20,39,76,15,17,62,11,18,33,10,58,12,83,140,14,3,63,14,8,78,42,25,53,140,17,72,40,26,38,15,55,70,24,23,33,117,10,106,17,21,7,20,20,31,14,35,48,27,28,169,20,58,16,76,44,34,11,149,13,26,184,84,82,32,11,26,34,473,10,25,11,9,13,9,37,17,10,2,22,34,25,70,107,4,25,8,77,478,61,1,7,77,18,18,2,16,57,82,19,124,101,24,65,11,3,31,17,5,11,23,12,3,31,62,26,6,15,5,19,15,4,19,19,6,1,28,17,17,40,46,59,5,54,21,19,15,3,110,50,19,80,12,12,6,79,51,1,35,7,72,38,25,1,1,7,10,52,35,13,27,12,8,6,16,97,9,19,17,19,17,10,35,76,9,20,2,8,20,16,17,2,12,1,14,4,18,1,23,38,13,2,49,32,19,0,23,1,68,0,30,14,10,35,8,4,14,40,6,1,4,1,0,20,0,18,12,9,3,2,10,19,40,0,14,3,3,0,21,12,12,8,22,6,69,1,6,3,57,5,32,12,0,1,8,1,5,51,8,2,2,1,5,29,2,1,2,0,5,32,9,5,47,1,10,16,1,9,0,11,5,3,22,1,3,7,24,13,6,0,6,4,8,2,6,2,5,0,2,5,1,0,5,0,3,0,17,44,0,2,0,1,0,1,2,3,5,26,9,0,1,0,0,3,5,1,1,12,0,21,0,1,0,0,6,9,2,0,0,6,0,0,4,3,0,0,1,0,0,1,3,0,0,0,1,0,0,6,3,0,0,0
apache,1836,710,29092,476,407,143,470,60,516,144,586,412,2508,342,216,739,1071,187,1048,568,554,396,834,367,1196,134,35,884,51,226,602,432,484,1828,167,1141,413,170,76,159,125,48,1407,417,159,277,233,145,311,3,107,98,82,677,293,141,284,753,136,33,46,61,62,50,58,436,241,197,72,120,887,1075,205,491,80,54,121,12,106,23,366,215,826,310,571,478,709,21,48,31,7,149,271,47,24,87,157,128,465,66,181,1000,44,73,40,96,499,120,96,80,293,176,45,183,50,214,32,288,51,22,264,64,41,95,9,74,34,29,20,432,54,406,172,26,38,61,61,182,19,72,102,12,196,128,31,165,19,184,272,89,12,102,43,30,132,98,35,233,330,43,234,95,90,63,19,136,181,114,47,44,195,24,220,20,53,20,54,173,156,39,285,144,381,62,116,90,116,48,355,83,433,36,404,17,72,315,155,1558,81,28,51,45,915,30,82,56,26,25,27,638,128,14,13,95,65,78,179,343,17,115,131,219,50,86,6,48,144,97,39,2,66,139,114,49,149,385,34,144,19,6,48,53,24,30,48,122,3,34,125,360,15,57,10,260,28,20,94,48,21,3,66,49,26,80,370,643,28,189,31,349,46,13,132,95,46,197,27,68,15,167,65,8,50,7,725,63,96,4,25,15,42,138,77,58,118,34,19,10,52,164,138,35,104,48,37,24,54,139,23,18,13,21,23,31,148,2,23,0,22,35,41,1,48,37,47,7,294,168,61,0,57,9,104,6,71,31,14,99,20,22,34,133,31,14,8,1,9,45,0,43,26,26,12,5,25,53,177,0,25,18,23,0,35,11,38,16,37,17,65,2,4,0,290,15,56,17,0,4,16,2,11,45,45,9,18,1,26,33,1,1,1,0,24,111,24,16,195,3,4,56,25,21,2,29,18,8,37,2,2,10,40,58,35,0,18,192,108,3,9,9,33,0,59,11,1,0,10,0,1,0,40,43,3,4,0,1,0,8,0,1,8,50,13,0,1,0,0,5,10,1,2,28,0,31,1,1,0,0,12,15,18,0,0,4,0,1,11,0,0,0,0,0,0,1,2,0,1,0,1,0,0,22,3,0,0,0
mozilla,1661,194,476,11358,190,109,242,61,416,402,453,404,919,556,508,308,634,52,1475,412,605,274,319,66,800,129,32,686,48,659,348,623,384,558,193,756,165,140,42,468,159,69,554,228,270,487,120,220,134,8,136,67,80,296,262,112,286,129,660,49,52,56,95,154,21,231,228,86,42,126,104,707,97,93,38,83,50,10,120,27,101,708,272,606,146,704,454,29,93,18,2,167,144,28,43,131,823,67,41,19,162,338,9,232,56,418,90,196,93,20,113,118,73,137,35,92,35,187,90,46,25,60,43,173,5,146,8,262,70,396,72,61,130,59,67,418,94,80,9,53,101,27,365,52,22,424,12,126,146,112,2,117,61,50,75,261,25,69,273,17,110,161,687,69,25,102,47,71,35,64,148,20,103,11,84,14,106,37,46,46,12,157,30,24,85,406,84,72,191,179,111,45,50,41,51,108,96,122,29,36,36,37,273,43,47,15,68,53,63,114,165,11,13,52,63,77,94,222,13,111,18,322,22,65,1,12,162,18,48,5,144,342,42,53,85,90,49,116,25,3,23,41,32,69,62,51,3,19,139,22,16,37,11,64,42,4,119,79,6,4,123,52,49,26,48,322,24,63,61,87,97,4,70,63,99,60,30,31,61,71,50,12,57,10,45,43,58,6,7,17,113,31,67,143,210,21,277,7,99,81,12,25,41,56,30,15,22,129,44,29,1,46,35,50,37,1,27,0,20,84,42,1,66,81,199,1,77,109,56,0,54,65,60,4,154,112,12,179,55,53,52,62,35,8,13,1,5,35,0,78,38,31,11,2,57,47,143,0,28,41,3,1,28,17,76,50,28,19,66,1,5,0,85,12,108,17,0,3,7,0,9,17,52,4,1,1,48,21,1,1,1,0,4,93,20,15,46,9,7,16,18,32,2,25,3,12,9,3,1,13,39,451,13,0,45,4,274,2,9,16,276,0,2,23,1,0,5,0,2,0,57,53,10,5,0,2,0,5,1,1,3,43,10,0,1,0,0,4,12,2,1,9,0,2,0,1,0,0,7,22,20,0,0,1,0,0,9,0,0,0,4,0,0,1,14,2,0,0,1,0,0,18,5,0,0,0
azure,3802,181,407,190,12993,89,339,24,547,52,254,160,602,227,95,173,472,80,601,469,577,636,404,64,473,69,13,403,18,259,397,149,518,884,101,626,180,96,23,106,82,42,522,240,94,92,374,428,65,6,69,41,30,767,304,47,371,116,83,21,45,33,20,31,21,194,166,226,21,590,84,185,30,57,54,38,25,3,69,11,71,117,442,136,143,236,234,6,27,23,3,37,91,17,8,274,84,136,18,23,87,241,17,20,31,69,31,57,56,26,137,397,24,65,27,106,30,86,64,22,13,33,84,56,4,199,26,39,8,393,24,38,59,16,40,25,30,137,195,36,344,13,40,56,29,95,13,142,100,36,4,69,18,34,122,44,209,39,354,4,58,50,57,42,17,65,77,37,16,33,159,18,66,8,95,7,14,21,42,34,12,55,22,6,53,42,35,21,80,32,28,28,43,9,38,727,106,55,71,16,22,23,620,10,131,23,16,260,22,48,33,8,3,21,25,53,71,760,9,53,103,80,105,85,1,6,73,317,22,1,69,51,191,25,613,63,22,115,19,2,23,17,5,26,17,30,4,28,126,24,10,30,4,157,32,4,23,26,9,2,65,31,30,23,69,125,28,59,32,18,37,3,37,53,31,89,11,17,4,105,56,8,44,3,275,55,35,1,3,9,22,91,61,33,38,8,6,10,62,333,6,49,15,28,26,11,37,50,11,8,4,46,27,254,12,1,70,0,5,66,18,1,15,29,17,2,37,46,47,0,59,2,152,1,56,16,4,60,16,13,16,74,16,5,5,1,1,20,0,25,25,32,7,2,60,22,44,0,16,4,2,0,17,291,23,10,12,11,16,1,3,2,37,7,55,14,0,0,3,0,5,63,13,5,1,1,16,22,1,1,0,0,3,31,12,6,31,1,13,16,3,7,0,17,1,9,26,1,6,14,20,32,8,0,8,9,9,3,12,9,14,0,1,4,2,1,6,0,16,0,26,29,4,2,1,1,0,2,0,1,4,15,4,0,1,0,0,6,3,1,1,6,0,1,0,1,0,0,4,17,6,0,0,3,0,0,3,4,0,0,1,0,0,1,2,0,0,0,1,0,0,8,2,0,0,0
adafruit,382,45,143,109,89,5042,53,12,70,33,513,53,226,56,45,68,61,26,198,69,79,341,43,43,51,28,12,379,20,45,89,53,62,167,50,88,50,25,11,32,30,16,54,44,24,44,76,27,18,1,20,15,8,93,65,23,77,220,32,10,6,12,47,12,5,44,35,42,9,41,19,65,11,20,11,13,13,3,21,6,28,35,44,89,38,60,152,4,15,4,1,30,19,14,5,28,51,20,11,6,54,83,3,31,8,17,4,25,22,7,32,34,15,18,8,26,5,40,18,7,14,14,8,23,1,27,1,17,8,104,10,13,32,6,8,8,24,31,8,10,23,12,24,21,266,293,3,62,22,10,2,33,4,6,26,25,20,21,34,5,38,23,23,93,3,26,13,25,7,16,42,40,29,2,8,7,16,7,21,7,3,53,7,2,23,21,5,13,33,13,13,14,12,4,12,31,38,12,11,7,7,13,54,4,7,3,9,8,12,34,12,2,5,17,11,28,44,40,2,29,5,20,9,12,1,3,61,8,11,2,15,10,11,9,26,12,15,21,8,2,8,5,3,11,19,10,3,6,23,5,7,181,2,351,8,4,11,15,31,1,9,5,35,8,14,22,6,12,272,12,12,2,16,17,17,8,34,5,2,25,13,2,15,1,14,9,13,0,3,3,4,7,569,14,24,4,4,1,12,13,2,7,7,217,6,9,3,34,6,10,2,8,6,13,8,1,5,0,4,0,7,1,24,36,12,0,16,24,15,0,77,2,62,0,18,13,4,20,8,1,7,7,8,1,4,2,1,11,0,18,11,5,5,1,8,16,11,0,7,0,1,0,8,4,9,14,6,6,14,1,1,0,9,5,11,2,0,0,4,0,3,7,7,4,1,1,7,6,1,1,0,0,3,34,10,8,7,2,2,6,2,5,1,7,2,1,2,2,0,2,8,9,3,0,4,2,7,3,3,3,3,0,1,3,1,0,2,0,4,1,7,37,0,2,0,1,0,18,2,1,1,24,2,0,1,0,0,3,3,0,2,3,0,2,0,1,0,0,2,7,5,0,0,1,0,0,8,2,0,0,0,0,0,1,2,1,0,0,1,0,0,8,1,0,0,0
googlecloudplatform,563,198,470,242,339,53,8063,22,824,48,480,146,1109,171,82,232,254,101,700,275,181,722,412,46,322,85,15,289,72,137,892,180,253,1108,105,579,169,184,26,91,273,25,478,298,53,246,233,65,46,1,56,48,14,797,245,76,233,442,61,13,24,55,26,16,21,285,121,175,26,50,66,301,26,82,63,36,28,5,66,9,96,97,630,124,163,210,184,5,23,21,2,52,87,110,24,26,60,138,20,10,150,348,14,28,40,33,35,90,28,20,177,478,26,109,25,105,21,136,29,10,13,32,64,46,14,57,14,13,11,135,26,57,51,5,33,26,34,126,8,15,179,16,157,54,18,65,6,162,81,49,1,74,15,16,109,34,17,48,280,5,61,40,43,31,24,211,132,171,23,17,141,16,106,7,21,6,20,29,31,26,3,77,16,24,70,39,171,38,83,50,45,210,58,11,52,624,112,120,63,9,20,37,552,10,42,12,12,13,7,109,39,12,2,18,33,50,68,529,5,42,12,169,25,85,1,7,86,19,21,0,26,58,160,22,249,152,26,185,19,6,40,78,5,16,21,86,7,22,62,19,7,23,10,22,17,4,19,19,4,3,25,23,11,37,69,121,5,94,16,38,21,2,35,47,20,154,11,13,4,555,64,2,35,4,102,62,41,0,4,4,21,203,26,44,48,16,6,3,29,50,5,8,21,20,22,9,35,69,5,11,3,15,11,20,29,1,15,0,7,13,20,1,33,42,24,0,71,46,26,0,24,6,143,4,28,22,8,36,17,7,21,189,12,3,6,1,2,28,0,25,14,5,3,1,9,26,30,0,9,11,1,0,36,8,20,7,34,31,29,1,0,1,49,7,28,23,0,1,5,1,21,53,23,3,2,1,11,14,1,1,0,0,4,62,9,3,65,1,9,28,19,11,0,30,11,7,19,2,4,12,15,26,7,0,10,7,14,2,7,5,23,0,1,2,3,1,2,0,1,0,17,19,2,7,0,1,0,2,0,0,6,23,7,0,1,0,0,3,6,1,1,10,0,2,6,1,0,0,4,4,5,0,0,3,0,0,3,0,0,0,1,0,0,1,2,0,0,0,1,0,0,8,0,0,0,0
owasp,98,42,60,61,24,12,22,2600,34,22,19,17,88,33,12,15,24,5,40,80,37,18,29,9,16,10,11,62,9,25,31,22,30,220,12,39,28,14,12,16,10,3,26,23,12,8,13,15,13,0,10,14,3,29,14,19,12,20,12,18,2,7,12,10,8,28,17,7,4,18,4,18,9,13,7,13,6,2,15,3,13,22,30,15,16,14,17,1,8,2,1,11,13,5,2,8,10,17,6,5,10,21,4,3,8,3,5,15,9,7,10,9,5,6,3,13,9,12,10,7,1,5,3,16,1,10,4,5,3,28,2,4,17,2,7,12,6,10,7,4,6,4,6,5,4,8,1,9,7,6,2,14,2,6,14,8,9,3,11,0,11,9,5,7,7,9,5,6,5,7,17,12,4,3,7,2,6,5,7,8,1,10,3,7,5,6,8,5,6,7,10,11,13,3,9,18,10,14,5,3,1,5,43,6,4,3,4,4,2,6,3,4,2,3,11,6,12,8,3,8,4,3,9,9,1,2,9,11,5,0,7,11,6,2,15,9,24,10,4,3,2,3,1,4,8,3,1,2,12,4,2,5,1,4,6,2,9,6,4,1,10,6,2,9,2,11,1,8,3,6,7,2,9,8,5,10,1,1,6,10,8,1,5,2,5,6,10,1,4,2,7,4,7,16,1,2,2,2,8,14,1,3,2,11,7,7,4,12,4,2,2,3,5,4,2,1,2,0,4,1,4,1,5,4,6,0,3,10,9,0,5,0,9,3,4,2,3,11,3,0,4,8,3,1,2,1,0,8,0,3,6,1,0,0,5,5,2,0,3,0,1,0,2,1,3,0,7,1,10,1,1,0,3,4,9,2,0,2,3,0,3,6,5,2,1,1,3,5,2,1,0,0,1,8,8,0,1,1,1,5,0,4,0,3,1,1,3,0,0,2,4,2,2,0,1,2,4,0,5,2,3,0,0,0,1,1,1,0,1,0,7,6,1,2,0,1,0,1,0,0,3,4,0,0,1,0,0,1,1,0,2,3,0,0,0,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
hashicorp,942,400,516,416,547,70,824,34,9883,62,281,400,1671,402,139,650,378,158,1123,612,393,857,1027,39,500,475,16,791,40,470,969,333,604,1220,597,1258,434,294,40,163,134,46,478,610,102,146,579,210,111,1,170,77,29,1248,528,123,222,178,132,30,59,61,23,33,18,841,342,335,46,89,88,503,42,187,282,57,39,1,67,23,200,257,485,209,581,842,252,15,52,66,1,43,243,23,5,47,107,266,13,31,326,521,23,21,48,46,24,112,57,16,221,237,35,111,54,147,84,328,52,26,17,57,90,126,21,331,14,26,14,251,52,97,75,24,81,42,164,199,24,41,113,27,35,228,21,77,14,141,186,25,6,165,38,53,160,53,49,96,273,16,262,155,54,56,40,88,243,34,109,25,352,13,181,10,61,21,41,49,159,68,12,76,31,15,435,67,76,21,147,251,70,46,42,12,348,555,280,100,111,29,19,56,1149,25,64,27,17,52,27,76,21,12,4,35,46,101,122,327,11,40,20,433,40,106,1,18,97,27,29,1,85,383,444,28,227,211,69,324,15,6,102,74,14,40,53,30,6,63,121,27,12,20,4,25,37,4,44,29,6,6,78,35,19,46,121,131,14,132,20,16,47,1,71,107,46,164,13,31,14,266,160,4,92,7,96,96,40,2,2,15,41,217,33,47,35,13,7,8,69,92,12,15,41,24,32,23,337,152,15,29,5,52,28,59,19,1,27,0,11,13,54,1,22,26,29,0,117,94,66,0,36,2,287,3,64,21,14,100,26,22,27,83,19,4,3,2,2,38,0,33,37,17,5,0,51,32,49,0,18,4,3,0,46,31,34,12,35,57,36,1,3,0,101,12,64,26,0,2,6,6,11,122,12,3,1,1,20,50,2,2,0,0,4,60,7,4,90,5,22,59,4,18,0,26,4,19,28,2,10,24,35,35,9,0,12,8,16,5,9,10,21,0,1,23,2,1,3,0,3,0,35,27,6,9,0,1,0,2,0,3,13,52,11,0,1,0,0,4,8,1,3,30,0,6,3,1,0,0,9,17,4,0,0,9,0,0,3,2,0,0,2,0,0,1,3,2,0,0,1,0,0,9,3,0,0,0
w3c,311,36,144,402,52,33,48,22,62,3130,89,80,159,158,68,58,114,10,191,109,111,34,72,51,65,38,18,172,28,88,78,94,103,103,52,102,34,39,23,82,34,13,62,48,47,34,26,79,36,2,44,33,32,54,18,29,43,23,65,10,16,22,18,134,10,29,41,11,17,41,32,101,48,26,10,19,19,3,71,10,17,124,63,105,31,107,43,11,30,4,1,27,43,9,4,42,237,16,13,32,36,59,4,55,28,52,36,39,28,10,23,11,27,57,10,16,17,32,28,10,6,13,10,50,3,51,5,14,15,133,14,8,78,29,32,493,23,14,12,24,14,7,26,20,7,29,2,29,29,12,2,28,23,21,14,62,11,23,68,1,34,64,69,22,10,42,15,14,6,13,28,5,23,1,33,7,31,11,22,14,3,31,7,5,21,277,31,30,45,16,13,16,13,16,14,17,14,21,4,16,11,15,43,18,14,7,28,18,18,19,18,7,3,10,19,18,16,32,5,26,6,16,6,24,1,5,28,6,9,0,66,12,6,9,21,14,27,26,44,2,4,6,13,51,28,11,2,4,41,3,3,5,9,16,12,6,53,32,1,1,57,20,5,9,5,16,11,10,5,12,46,3,24,21,28,9,5,8,89,13,12,5,19,2,9,7,18,1,2,9,20,12,11,209,30,3,24,2,35,31,1,5,9,19,12,2,2,31,20,8,6,20,9,18,6,1,9,0,14,127,15,1,16,30,56,1,10,20,32,0,11,23,12,2,22,39,5,63,20,10,13,17,13,3,3,1,2,17,0,17,9,20,1,1,23,7,24,0,12,0,2,0,5,3,24,12,13,3,47,1,1,0,21,12,39,6,0,0,3,0,3,5,6,5,1,1,23,5,1,1,0,0,4,21,6,4,2,1,0,7,0,5,2,10,1,2,7,0,0,8,6,82,1,0,11,2,4,2,8,5,87,0,2,9,1,0,3,0,1,0,23,19,5,2,0,1,0,2,0,1,2,15,4,0,1,0,0,4,4,0,2,2,0,1,0,2,0,0,1,4,8,0,0,0,0,0,4,0,0,0,0,0,0,1,3,2,0,0,1,0,0,1,0,0,0,0
