company,h-index,repo count,contributor count,location,country,employee,top_language
microsoft,458,5261,41127,"Redmond, WA",,,C#
jenkinsci,99,2526,8610,"Santa Clara, CA",,,Java
apache,265,2410,29026,,,,Java
mozilla,153,2353,11352,"Mountain View, California",,,JavaScript
azure,178,1879,1743,"Redmond, WA & the cloud ??",,,C#
adafruit,107,1600,3771,New york city,,,Python
googlecloudplatform,150,1078,8038,,,,Python
owasp,71,1000,1917,,,,HTML
hashicorp,117,973,6095,"San Francisco, CA",,,Go
w3c,99,972,3125,World Wide Web,,,HTML
intel,105,964,13138,"Mountain View, CA",USA,121100,C
udacity,118,891,5560,,,,Jupyter Notebook
shopify,106,885,23805,The Internet,,,Ruby
automattic,82,870,7802,Worldwide,,,PHP
mapbox,123,846,2442,Washington DC,,,JavaScript
heroku,77,841,5444,"San Francisco, CA",,,Ruby
adobe,63,815,6901,"San Jose, CA",,,JavaScript
openstack,80,768,5278,,,,Python
unity-technologies,131,687,17113,"Copenhagen, Denmark",,,C#
JetBrains,98,598,10413,Czech Republic,Europe,1900,Java
elastic,90,598,8093,,,,JavaScript
rancher,61,515,6145,,,,Go
segmentio,66,504,7998,"San Francisco, CA",,,Go
eclipse,75,475,3439,,,,Java
alibaba,188,455,8153,"Hangzhou, China",China,245700,Java
discourse,39,455,2367,,,,Ruby
nasa,63,449,1222,United States of America,,,Python
github,137,446,11092,"San Francisco, CA",USA,1800,Ruby
spatie,183,446,3678,"Antwerp, Belgium",,,PHP
auth0,66,438,4932,Seattle,,,JavaScript
grafana,64,434,8988,Sweden,,,Go
getsentry,60,433,5641,,,,Python
cloudflare,119,414,6560,"San Francisco, London, Austin, Lisbon, Singapore",,,JavaScript
nokia,24,399,15880,,Europe,87927,Python
thoughtbot,85,397,4874,,,,Ruby
atlassian,37,376,10370,Australia,,,JavaScript
aws,134,365,7162,"Seattle, WA",,,Python
getlantern,25,362,2948,,,,Go
salesforce,77,354,1207,,USA,78634,Python
npm,59,341,2273,United States of America,,,JavaScript
plotly,63,340,2645,Montr¨¦al,,,Python
hubspot,45,337,7447,"Cambridge, MA",,,Java
futurice,26,337,1554,,,,JavaScript
kong,43,332,5364,San Francisco,,,Lua
rstudio,81,330,2685,"Boston, MA",,,R
nvidia,108,322,4265,"2788 San Tomas Expressway, Santa Clara, CA, 95051",USA,22473,Python
hewlettpackard,31,318,3688,,,,Python
formidablelabs,63,316,3672,"Seattle, WA",,,JavaScript
ionic-team,70,306,2936,Cyberspace,,,TypeScript
codrops,143,287,143,,,,JavaScript
ethereum,88,281,3014,,,,Python
netlify,48,281,2594,San Francisco,,,JavaScript
ecomfe,46,277,777,Beijing & Shanghai & Shenzhen,,,JavaScript
digitalocean,44,275,7441,"New York, NY",,,Go
juniper,32,273,5625,,USA,9000,Python
square,105,264,685,,Other,1853,Ruby
oracle,64,264,4474,"Austin, TX",USA,143000,Java
spotify,94,261,3740,"Stockholm, Sweden",Europe,6620,Java
atom,71,255,2518,"San Francisco, CA",,,JavaScript
nccgroup,94,254,691,Global,,,Python
marmelab,42,251,353,France,,,JavaScript
symfony,126,246,3241,The Internet,,,PHP
fossasia,236,242,2359,Singapore,,,JavaScript
tc39,104,241,892,The web,,,HTML
sap,57,239,1829,"Walldorf, Germany",Europe,107400,JavaScript
yelp,58,238,4918,San Francisco,USA,4400,Python
rocketchat,29,237,5375,,,,JavaScript
mirantis,19,236,3137,,USA,1000,Python
paypal,60,231,1177,"San Jose, CA",USA,30900,JavaScript
dotnet,116,224,6377,,,,C#
palantir,50,220,2825,"Denver, CO",,,Java
dropbox,64,216,6005,San Francisco,USA,2667,Python
naver,57,215,1461,Republic of Korea,Other,4696,Python
netflix,108,212,2353,"Los Gatos, California",USA,11300,Java
vmware,51,212,2000,"Palo Alto, CA",USA,37500,Go
