company,h-index,repo count,contributor count,repo-count diff,contributor diff
microsoft,460,5303,43166,42,2039
jenkinsci,99,2529,8641,3,31
apache,267,2415,29172,5,146
mozilla,153,2354,11359,1,7
azure,179,1878,13014,-1,11271
adafruit,107,1604,5049,4,1278
googlecloudplatform,152,1089,8114,11,76
owasp,72,1005,2619,5,702
hashicorp,118,975,9894,2,3799
w3c,100,974,3138,2,13
intel,106,968,13192,4,54
udacity,119,893,5557,2,-3
shopify,107,887,23806,2,1
automattic,82,877,8114,7,312
mapbox,123,847,3751,1,1309
heroku,77,840,5441,-1,-3
adobe,63,824,6905,9,4
openstack,80,769,5278,1,0
unity-technologies,131,691,17112,4,-1
elastic,91,607,8165,9,-2248
JetBrains,99,598,10409,0,2316
rancher,61,516,6155,1,10
segmentio,66,506,8079,2,81
eclipse,75,477,3439,2,0
discourse,39,458,2370,3,-5783
alibaba,189,455,8181,0,5814
nasa,63,453,1224,4,2
github,137,448,11174,2,82
spatie,183,446,3691,0,13
grafana,64,440,9163,2,4231
auth0,66,438,4930,4,-4058
getsentry,60,436,5656,3,15
cloudflare,120,415,6577,1,17
nokia,24,403,15939,4,59
thoughtbot,84,400,4878,3,4
atlassian,37,376,10402,0,32
aws,134,373,7234,8,72
getlantern,25,364,3108,2,160
salesforce,78,355,1217,1,10
npm,59,343,2423,2,150
plotly,63,341,2644,1,-1
kong,43,339,5498,2,-1949
futurice,27,337,1554,0,0
hubspot,46,336,7444,4,2080
rstudio,81,330,2689,0,4
nvidia,109,320,4431,-2,166
hewlettpackard,31,318,3690,0,2
formidablelabs,63,316,3670,0,-2
ionic-team,70,306,2937,0,1
codrops,143,288,143,1,0
netlify,48,283,2611,2,-403
ethereum,88,282,3025,1,431
ecomfe,47,277,779,0,2
digitalocean,45,277,7441,2,0
juniper,32,273,5630,0,5
square,105,265,2455,1,1770
oracle,64,264,4476,0,2
spotify,94,262,3742,1,2
atom,71,255,2513,0,-5
nccgroup,94,254,691,0,0
marmelab,42,251,1274,0,921
symfony,126,248,3265,2,24
fossasia,236,242,2359,0,0
tc39,104,241,893,0,1
sap,57,240,1838,1,9
yelp,58,238,4919,0,1
mirantis,19,238,3140,1,-2235
rocketchat,29,238,5374,2,2237
paypal,60,231,1180,0,3
dotnet,118,224,6395,0,18
palantir,49,220,2825,0,0
dropbox,64,217,6004,1,-1
naver,57,215,1461,0,0
netflix,108,215,2363,3,10
vmware,51,212,2004,0,4
freecodecamp,43,209,3142,0,10
yahoo,56,208,1158,0,3
nvlabs,87,205,327,1,5
angular,72,203,3246,0,-1
ansible,44,201,2488,0,1593
linuxdeepin,32,200,900,1,-2585
nodejs,77,199,3492,0,1004
airbnb,74,194,6540,0,3
rust-lang,95,194,6781,0,26
influxdata,42,193,3389,0,-1363
meteor,30,193,4749,1,1360
bytedance,69,191,5673,0,2
fex-team,40,188,454,0,-858
ipfs,49,187,1317,-1,863
citrix,16,186,588,0,0
apple,103,186,3106,0,2851
thunlp,74,186,254,2,-2832
crowdstrike,29,184,2619,3,6
ebay,43,182,675,2,9
deepmind,90,181,681,2,16
servo,37,178,3476,0,333
xamarin,51,178,3145,1,-333
ory,30,175,1981,0,7
tencent,135,170,3306,0,10
hyperledger,53,166,1728,0,3
nextdoor,11,165,6967,0,2878
basecamp,40,165,4090,1,-2882
criteo,24,162,335,0,1
telus,7,158,1113,1,-1560
khronosgroup,67,158,2711,2,1602
samsung,39,155,2220,0,2
cloudera,29,153,1528,0,-3
trailofbits,59,153,2305,0,11
jitsi,33,147,2117,0,5
openai,87,145,2723,0,1359
pingcap,43,145,3394,0,6
frappe,38,144,1722,1,-995
servicenow,22,142,2131,-1,754
freshworks,9,141,3818,-1,1686
qiniu,40,140,910,0,-1
uber,81,138,2688,-1,-96
cyberark,30,136,946,0,2
infinitered,29,136,2127,0,-1611
sage,15,128,873,-8,-1257
amzn,37,127,1304,-2,419
delta,8,127,266,1,-608
easemob,21,126,880,0,-750
fastai,46,126,1632,1,850
tryghost,38,126,2315,2,-1
iuap-design,15,125,780,2,514
vercel,69,124,2598,2,17
dell,21,122,1039,1,504
docusign,15,121,534,0,-493
facebook,98,120,9253,-1,8043
wordpress,51,120,1215,0,-8019
alteryx,14,119,1479,0,598
paytm,6,119,879,1,-600
vuejs,81,118,4929,0,15
filamentgroup,56,118,417,0,-1
storybookjs,31,117,1331,0,2
mdn,50,116,2198,0,4
rails,66,115,2074,1,7
minio,41,113,2013,0,11
ant-design,44,112,1996,0,964
aspnet,68,112,1032,1,-941
coinbase,47,110,653,1,-1205
ericsson,14,109,1859,1,1211
yandex,41,107,939,0,-3053
tensorflow,87,107,4006,1,2697
baidu,62,106,1314,0,376
commaai,25,106,4009,0,6
huggingface,50,105,2657,1,2075
mastercard,14,104,580,0,-2532
seagate,12,104,3112,0,-285
ExpediaInc,2,104,3394,0,803
huawei,12,103,162,0,0
vimeo,38,102,2138,0,5
koajs,55,102,720,0,0
gatsbyjs,29,101,1231,0,-1
skillz,5,100,2422,0,-1
signalapp,35,100,2227,0,12
powershell,42,100,1029,0,2
twitter,69,98,1575,0,5
medium,22,98,4021,1,-4
clojure,53,97,575,2,-2190
procore,11,95,2765,1,2191
home-assistant,37,95,2736,2,-249
nytimes,44,94,627,1,-1274
genius,9,93,2982,0,2357
electron,39,93,1899,1,-960
firebase,49,92,2870,0,158
mercari,34,90,1337,0,5
jupyter,37,90,1367,0,3
okta,34,89,1077,0,4
realm,34,89,1053,0,4
docker,56,88,2780,1,11
mandiant,54,87,721,0,0
mercadolibre,19,87,2567,0,4
tauri-apps,29,87,1376,1,1175
groupon,29,86,201,1,-1881
smartrent,7,85,1722,0,1392
reactjs,47,85,2083,0,958
papers-we-love,13,85,331,1,-891
youzan,36,84,1223,0,-141
opentext,5,84,496,1,0
prisma,29,84,1136,2,335
python,37,83,2201,1,9
netease,33,82,802,0,-74
kotlin,53,82,881,1,-1442
coupa,3,81,2320,0,-91
laravel,67,81,2954,0,1244
denoland,40,81,2456,1,1549
bazelbuild,47,81,1721,1,-423
cisco,27,80,912,0,-511
coursera,15,80,2143,0,863
ironsource,14,80,1423,0,-1515
veritone,4,80,1507,1,-200
autodesk,27,79,818,0,-1708
spring-projects,58,79,2531,1,1713
containers,42,78,1881,1,563
didi,53,77,1319,0,-3251
kubernetes,60,77,4584,0,2712
nutanix,11,76,892,0,-2317
semantic-org,16,76,753,0,-139
box,35,75,723,-1,-31
doctrine,42,75,1782,0,1060
pinterest,43,74,3196,-1,1596
appian,4,74,7456,0,-5
hexojs,29,73,738,1,0
rethinkdb,24,72,695,0,-1
openresty,54,70,411,0,3
videojs,29,70,673,0,2
kriasoft,29,70,628,0,-1
gulpjs,22,70,449,0,1
tusimple,10,68,2993,0,-1
pytorch,56,68,2737,0,17
opntec,0,68,304,0,-62
douban,31,67,550,-1,246
blockchain,19,67,1749,0,1199
shadowsocks,43,67,1192,0,-558
netdata,13,66,1813,-1,620
bilibili,36,65,1744,-1,-59
doordash,4,65,3552,0,34
strapi,32,65,784,0,-18
