company,h-index,repo count,contributor count,location,top_language,,h-index,repo count,contributor count,,h-index diff,repo-count diff,contributor diff
microsoft,460,5303,43166,"Redmond, WA",C#,,458,5261,41127,,2,42,2039
jenkinsci,99,2529,8641,"Santa Clara, CA",Java,,99,2526,8610,,0,3,31
apache,267,2415,29172,,Java,,265,2410,29026,,2,5,146
mozilla,153,2354,11359,"Mountain View, California",JavaScript,,153,2353,11352,,0,1,7
azure,179,1878,13014,"Redmond, WA & the cloud ☁️",C#,,178,1879,1743,,1,-1,11271
adafruit,107,1604,5049,New york city,Python,,107,1600,3771,,0,4,1278
googlecloudplatform,152,1089,8114,,Python,,150,1078,8038,,2,11,76
owasp,72,1005,2619,,HTML,,71,1000,1917,,1,5,702
hashicorp,118,975,9894,"San Francisco, CA",Go,,117,973,6095,,1,2,3799
w3c,100,974,3138,World Wide Web,HTML,,99,972,3125,,1,2,13
intel,106,968,13192,,C,,105,964,13138,,1,4,54
udacity,119,893,5557,"Mountain View, CA",Jupyter Notebook,,118,891,5560,,1,2,-3
shopify,107,887,23806,The Internet,Ruby,,106,885,23805,,1,2,1
automattic,82,877,8114,Worldwide,PHP,,82,870,7802,,0,7,312
mapbox,123,847,3751,Washington DC,JavaScript,,123,846,2442,,0,1,1309
heroku,77,840,5441,"San Francisco, CA",Ruby,,77,841,5444,,0,-1,-3
adobe,63,824,6905,"San Jose, CA",JavaScript,,63,815,6901,,0,9,4
openstack,80,769,5278,,Python,,80,768,5278,,0,1,0
unity-technologies,131,691,17112,"Copenhagen, Denmark",C#,,131,687,17113,,0,4,-1
elastic,91,607,8165,,JavaScript,,98,598,10413,,-7,9,-2248
JetBrains,99,598,10409,Czech Republic,Java,,90,598,8093,,9,0,2316
rancher,61,516,6155,,Go,,61,515,6145,,0,1,10
segmentio,66,506,8079,"San Francisco, CA",Go,,66,504,7998,,0,2,81
eclipse,75,477,3439,,Java,,75,475,3439,,0,2,0
discourse,39,458,2370,,Ruby,,188,455,8153,,-149,3,-5783
alibaba,189,455,8181,"Hangzhou, China",Java,,39,455,2367,,150,0,5814
nasa,63,453,1224,United States of America,Python,,63,449,1222,,0,4,2
github,137,448,11174,"San Francisco, CA",Ruby,,137,446,11092,,0,2,82
spatie,183,446,3691,"Antwerp, Belgium",PHP,,183,446,3678,,0,0,13
grafana,64,440,9163,Sweden,Go,,66,438,4932,,-2,2,4231
auth0,66,438,4930,Seattle,JavaScript,,64,434,8988,,2,4,-4058
getsentry,60,436,5656,,Python,,60,433,5641,,0,3,15
cloudflare,120,415,6577,"San Francisco, London, Austin, Lisbon, Singapore",JavaScript,,119,414,6560,,1,1,17
nokia,24,403,15939,,Python,,24,399,15880,,0,4,59
thoughtbot,84,400,4878,,Ruby,,85,397,4874,,-1,3,4
atlassian,37,376,10402,Australia,JavaScript,,37,376,10370,,0,0,32
aws,134,373,7234,"Seattle, WA",Python,,134,365,7162,,0,8,72
getlantern,25,364,3108,,Go,,25,362,2948,,0,2,160
salesforce,78,355,1217,,Python,,77,354,1207,,1,1,10
npm,59,343,2423,United States of America,JavaScript,,59,341,2273,,0,2,150
plotly,63,341,2644,Montréal,Python,,63,340,2645,,0,1,-1
kong,43,339,5498,San Francisco,Lua,,45,337,7447,,-2,2,-1949
futurice,27,337,1554,,JavaScript,,26,337,1554,,1,0,0
hubspot,46,336,7444,"Cambridge, MA",Java,,43,332,5364,,3,4,2080
rstudio,81,330,2689,"Boston, MA",R,,81,330,2685,,0,0,4
nvidia,109,320,4431,"2788 San Tomas Expressway, Santa Clara, CA, 95051",Python,,108,322,4265,,1,-2,166
hewlettpackard,31,318,3690,,Python,,31,318,3688,,0,0,2
formidablelabs,63,316,3670,"Seattle, WA",JavaScript,,63,316,3672,,0,0,-2
ionic-team,70,306,2937,Cyberspace,TypeScript,,70,306,2936,,0,0,1
codrops,143,288,143,,JavaScript,,143,287,143,,0,1,0
netlify,48,283,2611,San Francisco,JavaScript,,88,281,3014,,-40,2,-403
ethereum,88,282,3025,,Python,,48,281,2594,,40,1,431
ecomfe,47,277,779,Beijing & Shanghai & Shenzhen,JavaScript,,46,277,777,,1,0,2
digitalocean,45,277,7441,"New York, NY",Go,,44,275,7441,,1,2,0
juniper,32,273,5630,,Python,,32,273,5625,,0,0,5
square,105,265,2455,,Ruby,,105,264,685,,0,1,1770
oracle,64,264,4476,"Austin, TX",Java,,64,264,4474,,0,0,2
spotify,94,262,3742,"Stockholm, Sweden",Java,,94,261,3740,,0,1,2
atom,71,255,2513,"San Francisco, CA",JavaScript,,71,255,2518,,0,0,-5
nccgroup,94,254,691,Global,Python,,94,254,691,,0,0,0
marmelab,42,251,1274,France,JavaScript,,42,251,353,,0,0,921
symfony,126,248,3265,The Internet,PHP,,126,246,3241,,0,2,24
fossasia,236,242,2359,Singapore,JavaScript,,236,242,2359,,0,0,0
tc39,104,241,893,The web,HTML,,104,241,892,,0,0,1
sap,57,240,1838,"Walldorf, Germany",JavaScript,,57,239,1829,,0,1,9
yelp,58,238,4919,San Francisco,Python,,58,238,4918,,0,0,1
mirantis,19,238,3140,,Python,,29,237,5375,,-10,1,-2235
rocketchat,29,238,5374,,JavaScript,,19,236,3137,,10,2,2237
paypal,60,231,1180,"San Jose, CA",JavaScript,,60,231,1177,,0,0,3
dotnet,118,224,6395,,C#,,116,224,6377,,2,0,18
palantir,49,220,2825,"Denver, CO",Java,,50,220,2825,,-1,0,0
dropbox,64,217,6004,San Francisco,Python,,64,216,6005,,0,1,-1
naver,57,215,1461,Republic of Korea,Python,,57,215,1461,,0,0,0
netflix,108,215,2363,"Los Gatos, California",Java,,108,212,2353,,0,3,10
vmware,51,212,2004,"Palo Alto, CA",Go,,51,212,2000,,0,0,4
